GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000028033,402.503734655367,1.79200077693205,0.136928013973681,7.0744234664771e-40,1.08683795622071e-38,Kcnq5
ENSMUSG00000026158,364.898814840067,-2.24833087824314,0.125732386947276,1.62782008142343e-72,4.65287728961727e-71,Ogfrl1
ENSMUSG00000026156,461.557243963594,0.17511463418965,0.103052787142992,0.0872520634814484,0.13782322499635,B3gat2
ENSMUSG00000026155,3070.90900936935,-0.227881148204298,0.0529451769717645,1.53326808350535e-05,4.65417969696927e-05,Smap1
ENSMUSG00000026154,261.351417552074,-0.363816420338294,0.138704428265112,0.00720959562886299,0.0146238386336494,1110058L19Rik
ENSMUSG00000026153,115.417047115517,2.48815806218491,0.193857361053596,1.18498545328443e-38,1.76142207931916e-37,Fam135a
ENSMUSG00000073725,2085.85531320419,0.49640506363461,0.0586761801653102,2.0798872629371e-17,1.5140412982259e-16,Lmbrd1
ENSMUSG00000048874,10058.7547592347,0.215212519699166,0.0641702993794265,0.000770601236538333,0.00184768755776422,Phf3
ENSMUSG00000026064,3700.87300067368,0.405481550007345,0.0507792883123007,1.14982474621394e-15,7.77429248980939e-15,Ptp4a1
ENSMUSG00000026058,11.3098133781012,1.36055283774977e-05,0.427487738766591,0.996525461001616,0.997934792458419,Khdrbs2
ENSMUSG00000091318,1.12322517850002,0.028354773381024,0.641149640436544,0.870316089549286,0.908540837884757,Gm5415
ENSMUSG00000026134,1677.40857223374,-0.418817993883292,0.0580099152849272,4.22256211001717e-13,2.47382747460878e-12,Prim2
ENSMUSG00000004768,599.84853193258,0.600764385502967,0.0975160649346482,4.77957906933671e-10,2.25898916086551e-09,Rab23
ENSMUSG00000042215,212.888404293509,-0.451707812201657,0.157564184142485,0.0030840393995912,0.00667822710131106,Bag2
ENSMUSG00000042197,4129.23341305881,0.194169683119392,0.0623414409902487,0.00177846239550677,0.00401636520690119,Zfp451
ENSMUSG00000042182,42.0207925393191,1.69347522207603,0.316653192750628,1.27620478140569e-08,5.35291278533597e-08,Bend6
ENSMUSG00000026131,1533.25525900639,3.94890528842974,0.112262742250182,2.82289860965037e-272,4.22837639818591e-270,Dst
ENSMUSG00000042111,1541.85325534292,0.0313266112615704,0.071828515841762,0.66487312486414,0.74395873718816,Ccdc115
ENSMUSG00000026127,4444.94562153283,0.0436396652019534,0.0475576952785273,0.363292746768972,0.462896647240884,Imp4
ENSMUSG00000026126,5413.38084833961,-0.0752352766597127,0.0728963964280431,0.29827365024595,0.393172187431859,Ptpn18
ENSMUSG00000026125,5.78575961301036,-0.303126597510534,0.568139846746992,0.379304665510142,0.479027813483339,Prss39
ENSMUSG00000037509,1255.51623174191,0.0739532656766399,0.0742850558472112,0.31652600022761,0.412830042828676,Arhgef4
ENSMUSG00000037503,14407.0202058476,0.098318202610628,0.0400130577441239,0.0162246607025456,0.0306027078852471,Fam168b
ENSMUSG00000026123,6938.59467948239,0.172937550548119,0.0527571558194018,0.00105131646212696,0.00246425035314682,Plekhb2
ENSMUSG00000045216,1641.71565845509,0.501826460429804,0.0641918983285735,3.84776872990191e-15,2.52593937102452e-14,Hs6st1
